ID,Name,Age,Rating
158023,L. Messi,31,94
20801,Cristiano Ronaldo,33,94
190871,Neymar Jr,26,92
193080,De Gea,27,91
192985,K. De Bruyne,27,91
183277,E. Hazard,27,91
177003,L. Modrić,32,91
176580,L. Suárez,31,91
155862,Sergio Ramos,32,91
200389,J. Oblak,25,90
188545,R. Lewandowski,29,90
182521,T. Kroos,28,90
182493,D. Godín,32,90
168542,David Silva,32,90
215914,N. Kanté,27,89
211110,P. Dybala,24,89
202126,H. Kane,24,89
194765,A. Griezmann,27,89
192448,M. ter Stegen,26,89
192119,T. Courtois,26,89
189511,Sergio Busquets,29,89
179813,E. Cavani,31,89
167495,M. Neuer,32,89
153079,S. Agüero,30,89
138956,G. Chiellini,33,89
231747,K. Mbappé,19,88
209331,M. Salah,26,88
200145,Casemiro,26,88
198710,J. Rodríguez,26,88
198219,L. Insigne,27,88
197781,Isco,26,88
190460,C. Eriksen,26,88
189242,Coutinho,26,88
188567,P. Aubameyang,29,88
178603,M. Hummels,29,88
176676,Marcelo,30,88
173731,G. Bale,28,88
167948,H. Lloris,31,88
167664,G. Higuaín,30,88
164240,Thiago Silva,33,88
162835,S. Handanovič,33,88
1179,G. Buffon,40,88
205600,S. Umtiti,24,87
201399,M. Icardi,25,87
201024,K. Koulibaly,27,87
195864,P. Pogba,25,87
193041,K. Navas,31,87
192505,R. Lukaku,25,87
192387,C. Immobile,28,87
189332,Jordi Alba,29,87
175943,D. Mertens,31,87
172871,J. Vertonghen,31,87
171877,M. Hamšík,30,87
168651,I. Rakitić,30,87
152729,Piqué,31,87
222492,L. Sané,22,86
218667,Bernardo Silva,23,86
210257,Ederson,24,86
208722,S. Mané,26,86
203376,V. van Dijk,26,86
202652,R. Sterling,23,86
201942,Roberto Firmino,26,86
201535,R. Varane,25,86
199556,M. Verratti,25,86
191043,Alex Sandro,27,86
190483,Douglas Costa,27,86
189596,T. Müller,28,86
189509,Thiago,27,86
188350,M. Reus,29,86
184432,Azpilicueta,28,86
184344,L. Bonucci,31,86
184087,T. Alderweireld,29,86
180206,M. Pjanić,28,86
177509,M. Benatia,31,86
176635,M. Özil,29,86
135507,Fernandinho,33,86
41,Iniesta,34,86
232363,M. Škriniar,23,85
223848,S. Milinković-Savić,23,85
220834,Marco Asensio,22,85
216594,N. Fekir,24,85
212831,Alisson,25,85
212622,J. Kimmich,23,85
208421,Saúl,23,85
204485,R. Mahrez,27,85
197445,D. Alaba,26,85
193747,Koke,26,85
193301,A. Lacazette,27,85
192774,K. Manolas,27,85
192366,N. Otamendi,30,85
189513,Parejo,29,85
187961,Paulinho,29,85
186153,W. Szczęsny,28,85
184941,A. Sánchez,29,85
184267,Y. Brahimi,28,85
183907,J. Boateng,29,85
181872,A. Vidal,31,85
181458,I. Perišić,29,85
180930,E. Džeko,32,85
179846,S. Khedira,31,85
179844,Diego Costa,29,85
178518,R. Nainggolan,30,85
171919,Naldo,35,85
170890,B. Matuidi,31,85
168609,Miranda,33,85
165153,K. Benzema,30,85
164169,Filipe Luís,32,85
139720,V. Kompany,32,85
120533,Pepe,35,85
41236,Z. Ibrahimović,36,85
220793,D. Sánchez,22,84
216460,J. Giménez,23,84
212462,Alex Telles,25,84
212218,A. Laporte,24,84
212198,Bruno Fernandes,23,84
212190,N. Süle,22,84
211300,A. Martial,22,84
211117,D. Alli,22,84
209499,Fabinho,24,84
207865,Marquinhos,24,84
207566,William Carvalho,26,84
205498,Jorginho,26,84
204970,F. Thauvin,25,84
204963,Carvajal,26,84
202556,M. Depay,24,84
200104,H. Son,25,84
199482,A. Lopes,27,84
198176,S. de Vrij,26,84
198009,M. Perin,25,84
193082,J. Cuadrado,30,84
192629,Iago Aspas,30,84
192563,B. Leno,26,84
191202,N. Matić,29,84
190941,L. Hrádecký,28,84
190584,Illarramendi,28,84
188377,K. Walker,28,84
186942,I. Gündoğan,27,84
185020,José Callejón,31,84
183898,A. Di María,30,84
181783,M. Mandžukić,32,84
180403,Willian,29,84
178750,Sergio Asenjo,29,84
178562,E. Banega,30,84
177413,A. Witsel,29,84
177388,D. Payet,31,84
176769,Jonas,34,84
172879,Sokratis,30,84
167628,S. Ruffier,31,84
167397,Falcao,32,84
163587,K. Schmeichel,31,84
157481,Raúl Albiol,32,84
143076,A. Gómez,30,84
137186,A. Barzagli,37,84
20775,Quaresma,34,84
9014,A. Robben,34,84
231443,O. Dembélé,21,83
230666,Gabriel Jesus,21,83
230481,Ronaldo Cabrais,26,83
230375,Josué Chiamulera,26,83
230294,Louri Beretta,26,83
225850,P. Kimpembe,22,83
220971,N. Keïta,23,83
219683,C. Tolisso,23,83
213565,T. Lemar,22,83
213345,K. Coman,22,83
213331,J. Tah,22,83
212523,Anderson Talisca,24,83
212188,T. Werner,22,83
210008,A. Rabiot,23,83
209658,L. Goretzka,23,83
208808,Q. Promes,26,83
208670,H. Ziyech,25,83
208618,Lucas Vázquez,27,83
208418,Y. Carrasco,24,83
208093,Gerard Moreno,26,83
207863,Felipe,29,83
207410,M. Kovačić,24,83
206585,Kepa,23,83
206545,Manu Trigueros,26,83
206113,S. Gnabry,22,83
204935,J. Pickford,24,83
204639,S. Savić,27,83
203574,J. Stones,24,83
202651,Suso,24,83
202166,J. Draxler,24,83
201995,Felipe Anderson,25,83
200949,Lucas Moura,25,83
200888,Danilo Pereira,26,83
200724,Nacho Fernández,28,83
200316,T. Horn,25,83
199914,Allan,27,83
199845,F. Acerbi,30,83
199564,Sergi Roberto,26,83
198329,Rodrigo,27,83
197965,Pizzi,28,83
195365,K. Kampl,27,83
194404,Neto,28,83
193698,O. Baumann,28,83
193474,I. Gueye,28,83
192883,H. Mkhitaryan,29,83
192638,Marcos Alonso,27,83
192593,D. Subašić,33,83
190547,K. Glik,30,83
189712,K. Strootman,28,83
189068,B. Dost,29,83
188152,Oscar,26,83
186627,M. Balotelli,27,83
185221,Luiz Gustavo,30,83
184942,Giuliano,28,83
179944,David Luiz,31,83
179783,R. Fährmann,29,83
178088,Juan Mata,30,83
178086,Adán,31,83
178005,Rui Patrício,30,83
177683,Y. Sommer,29,83
177610,Javi Martínez,29,83
177457,L. Bender,29,83
176266,Lucas Leiva,31,83
163705,S. Mandanda,33,83
162895,Cesc Fàbregas,31,83
162240,M. Dembélé,30,83
156616,F. Ribéry,35,83
104389,R. Jarstein,33,83
53302,D. De Rossi,34,83
24630,Pepe Reina,35,83
236583,J. Pavlenka,26,82
235243,M. de Ligt,18,82
231866,Rodri,22,82
230658,Arthur,21,82
230621,G. Donnarumma,19,82
230258,Rosberto Dourado,30,82
230225,Juiano Mestres,34,82
230168,Raphaelito Anjos,30,82
227055,Gelson Martins,23,82
224411,Gonçalo Guedes,21,82
223959,L. Torreira,22,82
222737,Malcom,21,82
221087,Pau López,23,82
220814,L. Hernández,22,82
220440,C. Lenglet,23,82
216354,A. Kramarić,27,82
216267,A. Robertson,24,82
216194,Dani García,28,82
212404,F. Bernardeschi,24,82
212194,J. Brandt,22,82
211320,D. Rugani,23,82
210617,Samu Castillejo,23,82
210514,João Cancelo,24,82
210413,A. Romagnoli,23,82
209989,T. Partey,25,82
209297,Fred,25,82
208830,J. Vardy,31,82
208596,A. Belotti,24,82
208448,E. Forsberg,26,82
207494,J. Lingard,25,82
207471,F. Vázquez,29,82
205678,E. Višća,28,82
205452,A. Rüdiger,25,82
203551,A. Florenzi,27,82
203263,H. Maguire,25,82
202371,T. Meunier,26,82
201956,S. Sané,27,82
201455,G. Kondogbia,25,82
201400,Rafinha,25,82
201305,Gabriel Paulista,27,82
201153,Morata,25,82
199987,J. Cillessen,29,82
199451,W. Ben Yedder,27,82
198951,C. Bakambu,27,82
198950,Pablo Sarabia,26,82
198717,W. Zaha,25,82
198706,Luis Alberto,25,82
198164,Jonathan Viera,28,82
198141,Bartra,27,82
197655,S. Coates,27,82
195093,Willian José,26,82
193525,Mário Fernandes,27,82
193469,Víctor Ruiz,29,82
193283,T. Delaney,26,82
192984,K. Casteels,26,82
192318,M. Götze,26,82
192227,S. Mustafi,26,82
191180,J. Pastore,29,82
189505,Pedro,30,82
189125,G. Bonaventura,28,82
189117,R. Bürki,27,82
188803,Taison,30,82
187936,S. Nzonzi,29,82
187754,Marlos,30,82
186561,A. Ramsey,27,82
186345,K. Trippier,27,82
185103,A. Kolarov,32,82
184484,G. Sigurðsson,28,82
184431,S. Giovinco,31,82
184200,M. Arnautović,29,82
184144,N. Gaitán,30,82
183711,J. Henderson,28,82
183574,M. Kruse,30,82
183498,M. Parolo,33,82
183376,L. Fejsa,29,82
183280,A. Rami,32,82
181786,V. Ćorluka,32,82
181291,G. Wijnaldum,27,82
179847,F. Fazio,31,82
178509,O. Giroud,31,82
173521,Marcano,31,82
171897,A. Guardado,31,82
170481,E. Garay,31,82
168530,Jardel,32,82
