ID,Name,Value,Wage
158023,L. Messi,€110.5M,€565K
20801,Cristiano Ronaldo,€77M,€405K
190871,Neymar Jr,€118.5M,€290K
193080,De Gea,€72M,€260K
192985,K. De Bruyne,€102M,€355K
183277,E. Hazard,€93M,€340K
177003,L. Modrić,€67M,€420K
176580,L. Suárez,€80M,€455K
155862,Sergio Ramos,€51M,€380K
200389,J. Oblak,€68M,€94K
188545,R. Lewandowski,€77M,€205K
182521,T. Kroos,€76.5M,€355K
182493,D. Godín,€44M,€125K
168542,David Silva,€60M,€285K
215914,N. Kanté,€63M,€225K
211110,P. Dybala,€89M,€205K
202126,H. Kane,€83.5M,€205K
194765,A. Griezmann,€78M,€145K
192448,M. ter Stegen,€58M,€240K
192119,T. Courtois,€53.5M,€240K
189511,Sergio Busquets,€51.5M,€315K
179813,E. Cavani,€60M,€200K
167495,M. Neuer,€38M,€130K
153079,S. Agüero,€64.5M,€300K
138956,G. Chiellini,€27M,€215K
231747,K. Mbappé,€81M,€100K
209331,M. Salah,€69.5M,€255K
200145,Casemiro,€59.5M,€285K
198710,J. Rodríguez,€69.5M,€315K
198219,L. Insigne,€62M,€165K
197781,Isco,€73.5M,€315K
190460,C. Eriksen,€73.5M,€205K
189242,Coutinho,€69.5M,€340K
188567,P. Aubameyang,€59M,€265K
178603,M. Hummels,€46M,€160K
176676,Marcelo,€43M,€285K
173731,G. Bale,€60M,€355K
167948,H. Lloris,€36M,€150K
167664,G. Higuaín,€57M,€245K
164240,Thiago Silva,€24M,€165K
162835,S. Handanovič,€30M,€110K
1179,G. Buffon,€4M,€77K
205600,S. Umtiti,€57M,€205K
201399,M. Icardi,€64.5M,€130K
201024,K. Koulibaly,€51M,€115K
195864,P. Pogba,€64M,€210K
193041,K. Navas,€30.5M,€195K
192505,R. Lukaku,€62.5M,€230K
192387,C. Immobile,€52M,€115K
189332,Jordi Alba,€38M,€250K
175943,D. Mertens,€45M,€135K
172871,J. Vertonghen,€34M,€155K
171877,M. Hamšík,€46.5M,€125K
168651,I. Rakitić,€46.5M,€260K
152729,Piqué,€34M,€240K
222492,L. Sané,€61M,€195K
218667,Bernardo Silva,€59.5M,€180K
210257,Ederson,€41.5M,€125K
208722,S. Mané,€52M,€195K
203376,V. van Dijk,€44.5M,€165K
202652,R. Sterling,€56.5M,€195K
201942,Roberto Firmino,€53M,€195K
201535,R. Varane,€50M,€210K
199556,M. Verratti,€55M,€135K
191043,Alex Sandro,€36.5M,€160K
190483,Douglas Costa,€46.5M,€175K
189596,T. Müller,€45M,€135K
189509,Thiago,€45.5M,€130K
188350,M. Reus,€43.5M,€100K
184432,Azpilicueta,€35M,€175K
184344,L. Bonucci,€30M,€160K
184087,T. Alderweireld,€39M,€150K
180206,M. Pjanić,€44M,€180K
177509,M. Benatia,€30M,€160K
176635,M. Özil,€43.5M,€190K
135507,Fernandinho,€18M,€185K
41,Iniesta,€21.5M,€21K
232363,M. Škriniar,€46.5M,€82K
223848,S. Milinković-Savić,€50.5M,€73K
220834,Marco Asensio,€54M,€215K
216594,N. Fekir,€50M,€92K
212831,Alisson,€36.5M,€115K
212622,J. Kimmich,€40.5M,€92K
208421,Saúl,€50.5M,€77K
204485,R. Mahrez,€40.5M,€205K
197445,D. Alaba,€38M,€110K
193747,Koke,€45M,€88K
193301,A. Lacazette,€45M,€180K
192774,K. Manolas,€37.5M,€96K
192366,N. Otamendi,€28.5M,€170K
189513,Parejo,€37M,€66K
187961,Paulinho,€37M,€235K
186153,W. Szczęsny,€32M,€125K
184941,A. Sánchez,€37.5M,€215K
184267,Y. Brahimi,€39M,€28K
183907,J. Boateng,€30M,€115K
181872,A. Vidal,€26M,€205K
181458,I. Perišić,€37.5M,€110K
180930,E. Džeko,€30.5M,€115K
179846,S. Khedira,€33M,€160K
179844,Diego Costa,€38.5M,€100K
178518,R. Nainggolan,€35.5M,€105K
171919,Naldo,€9M,€38K
170890,B. Matuidi,€26M,€145K
168609,Miranda,€15.5M,€96K
165153,K. Benzema,€37M,€240K
164169,Filipe Luís,€21.5M,€81K
139720,V. Kompany,€22M,€170K
120533,Pepe,€9M,€57K
41236,Z. Ibrahimović,€14M,€15K
220793,D. Sánchez,€34M,€105K
216460,J. Giménez,€34M,€63K
212462,Alex Telles,€32M,€22K
212218,A. Laporte,€34M,€135K
212198,Bruno Fernandes,€40.5M,€22K
212190,N. Süle,€36.5M,€84K
211300,A. Martial,€42.5M,€165K
211117,D. Alli,€42.5M,€115K
209499,Fabinho,€34M,€120K
207865,Marquinhos,€35.5M,€90K
207566,William Carvalho,€31.5M,€38K
205498,Jorginho,€38M,€155K
204970,F. Thauvin,€39M,€72K
204963,Carvajal,€31.5M,€185K
202556,M. Depay,€42M,€93K
200104,H. Son,€37M,€125K
199482,A. Lopes,€25M,€72K
198176,S. de Vrij,€31.5M,€88K
198009,M. Perin,€29.5M,€105K
193082,J. Cuadrado,€29.5M,€150K
192629,Iago Aspas,€30M,€45K
192563,B. Leno,€27M,€115K
191202,N. Matić,€24M,€165K
190941,L. Hrádecký,€22M,€74K
190584,Illarramendi,€31M,€51K
188377,K. Walker,€24.5M,€165K
186942,I. Gündoğan,€32M,€175K
185020,José Callejón,€27.5M,€105K
183898,A. Di María,€29.5M,€125K
181783,M. Mandžukić,€25M,€160K
180403,Willian,€30.5M,€175K
178750,Sergio Asenjo,€24M,€42K
178562,E. Banega,€29M,€31K
177413,A. Witsel,€24M,€77K
177388,D. Payet,€27.5M,€75K
176769,Jonas,€16.5M,€25K
172879,Sokratis,€23M,€140K
167628,S. Ruffier,€19M,€41K
167397,Falcao,€25M,€115K
163587,K. Schmeichel,€19M,€78K
157481,Raúl Albiol,€18M,€88K
143076,A. Gómez,€30M,€53K
137186,A. Barzagli,€4.2M,€95K
20775,Quaresma,€15.5M,€80K
9014,A. Robben,€15.5M,€110K
231443,O. Dembélé,€40M,€155K
230666,Gabriel Jesus,€41M,€130K
230481,Ronaldo Cabrais,€28M,€51K
230375,Josué Chiamulera,€22.5M,€43K
230294,Louri Beretta,€28.5M,€60K
225850,P. Kimpembe,€30.5M,€82K
220971,N. Keïta,€34M,€120K
219683,C. Tolisso,€34M,€85K
213565,T. Lemar,€35.5M,€64K
213345,K. Coman,€34M,€85K
213331,J. Tah,€29.5M,€67K
212523,Anderson Talisca,€36.5M,€18K
212188,T. Werner,€34.5M,€70K
210008,A. Rabiot,€33M,€91K
209658,L. Goretzka,€34M,€85K
208808,Q. Promes,€30.5M,€28K
208670,H. Ziyech,€32.5M,€28K
208618,Lucas Vázquez,€27M,€205K
208418,Y. Carrasco,€33M,€20K
208093,Gerard Moreno,€32M,€53K
207863,Felipe,€20M,€22K
207410,M. Kovačić,€35M,€165K
206585,Kepa,€28.5M,€84K
206545,Manu Trigueros,€30M,€49K
206113,S. Gnabry,€34.5M,€85K
204935,J. Pickford,€25M,€78K
204639,S. Savić,€26M,€67K
203574,J. Stones,€28.5M,€125K
202651,Suso,€33M,€115K
202166,J. Draxler,€32.5M,€91K
201995,Felipe Anderson,€31.5M,€110K
200949,Lucas Moura,€31M,€115K
200888,Danilo Pereira,€27M,€21K
200724,Nacho Fernández,€24.5M,€180K
200316,T. Horn,€24M,€25K
199914,Allan,€26.5M,€87K
199845,F. Acerbi,€19M,€64K
199564,Sergi Roberto,€26.5M,€170K
198329,Rodrigo,€30.5M,€57K
197965,Pizzi,€25.5M,€22K
195365,K. Kampl,€26.5M,€74K
194404,Neto,€21M,€41K
193698,O. Baumann,€21M,€42K
193474,I. Gueye,€21M,€125K
192883,H. Mkhitaryan,€25.5M,€145K
192638,Marcos Alonso,€24M,€130K
192593,D. Subašić,€13M,€70K
190547,K. Glik,€19M,€86K
189712,K. Strootman,€21M,€66K
